0,Date,Price,Open,High,Low,Volume,Chg%
599,"Apr 08, 2012",372.25,366.55,377.42,359.74,28.65M,0.61%
600,"Apr 01, 2012",369.99,371.16,377.87,366.06,18.71M,-0.48%
601,"Mar 25, 2012",371.78,368.46,372.96,355.63,50.61M,0.88%
602,"Mar 18, 2012",368.53,386.83,387.82,362.56,44.69M,-3.66%
603,"Mar 11, 2012",382.55,391.29,411.10,380.07,43.48M,-0.19%
604,"Mar 04, 2012",383.27,402.21,403.18,371.97,43.22M,-4.95%
605,"Feb 26, 2012",403.23,407.04,410.06,379.08,48.18M,-0.71%
606,"Feb 19, 2012",406.13,404.91,424.67,403.43,45.90M,0.21%
607,"Feb 12, 2012",405.26,416.60,425.37,398.57,57.27M,-2.97%
608,"Feb 05, 2012",417.67,418.98,428.29,408.18,40.73M,0.59%
609,"Jan 29, 2012",415.21,403.13,417.39,392.38,49.14M,2.18%
610,"Jan 22, 2012",406.35,374.10,410.06,374.05,42.31M,3.50%
611,"Jan 15, 2012",392.60,361.55,396.24,352.16,63.09M,8.32%
612,"Jan 08, 2012",362.46,353.87,372.96,347.93,43.40M,1.98%
613,"Jan 01, 2012",355.41,345.13,362.04,340.35,49.55M,3.55%
614,"Dec 25, 2011",343.22,370.02,380.74,341.27,41.17M,-7.16%
615,"Dec 18, 2011",369.70,356.22,381.26,351.27,46.06M,3.40%
616,"Dec 11, 2011",357.54,376.70,418.33,354.66,56.67M,-4.48%
617,"Dec 04, 2011",374.30,400.38,405.90,372.82,32.63M,-6.94%
618,"Nov 27, 2011",402.21,378.91,403.67,373.01,42.58M,7.73%
619,"Nov 20, 2011",373.36,396.24,398.45,371.97,48.29M,-6.72%
620,"Nov 13, 2011",400.26,441.51,443.79,389.81,39.29M,-8.72%
621,"Nov 06, 2011",438.52,435.37,442.13,421.06,20.09M,0.61%
622,"Oct 30, 2011",435.84,444.78,448.25,423.49,37.06M,-2.23%
623,"Oct 23, 2011",445.77,420.02,447.76,417.12,27.49M,7.69%
624,"Oct 16, 2011",413.95,429.43,430.35,401.87,33.48M,-3.59%
