,0,1
195,502.54,0.00015991926193237305 6.693601608276367e-05 5.40614128112793e-05 5.930662155151367e-05 5.5849552154541016e-05 5.7756900787353516e-05 5.751848220825195e-05 0.00020191073417663574 6.961822509765625e-05 0.001718968152999878 5.59687614440918e-05 0.00029075145721435547 5.751848220825195e-05 0.00012806057929992676
196,502.15,5.620718002319336e-05 0.9929558038711548 0.0001093447208404541 9.15229320526123e-05 0.00021210312843322754 5.626678466796875e-05 8.374452590942383e-05 6.961822509765625e-05 6.783008575439453e-05 5.84721565246582e-05 7.30752944946289e-05 0.03430891036987305 6.985664367675781e-05 0.000125199556350708 0.4881371855735779
197,439.62,6.282329559326172e-05 5.644559860229492e-05 5.650520324707031e-05 6.73532485961914e-05 6.985664367675781e-05 0.0005066096782684326 5.650520324707031e-05 9.444355964660645e-05 0.022612571716308594 5.59687614440918e-05 0.001106560230255127 6.93202018737793e-05
198,479.72,5.9723854064941406e-05 7.480382919311523e-05 8.541345596313477e-05 0.00010147690773010254 0.9842214584350586 0.9996302127838135 0.0001074373722076416 6.324052810668945e-05 6.085634231567383e-05 6.502866744995117e-05
199,499.48,0.005631953477859497 6.99758529663086e-05 6.151199340820312e-05 5.8650970458984375e-05 5.835294723510742e-05 6.502866744995117e-05 8.302927017211914e-05 9.766221046447754e-05 5.805492401123047e-05 6.103515625e-05 0.9995911717414856
200,484.26,5.6684017181396484e-05 0.00026854872703552246 5.5789947509765625e-05 5.704164505004883e-05 0.00010064244270324707 0.00010892748832702637 6.651878356933594e-05 5.8770179748535156e-05 0.031707972288131714
201,494.75,6.914138793945312e-05 5.65648078918457e-05 5.2928924560546875e-05 5.602836608886719e-05 6.890296936035156e-05 0.09803742170333862 7.772445678710938e-05 0.9720116257667542 0.00028452277183532715 0.0001417100429534912 7.826089859008789e-05 0.01536455750465393
202,504.33,0.00014385581016540527 5.269050598144531e-05 6.622076034545898e-05 5.704164505004883e-05 6.473064422607422e-05 5.6743621826171875e-05 6.16908073425293e-05 0.8851704597473145 6.622076034545898e-05 8.96751880645752e-05 6.568431854248047e-05 0.05142730474472046 7.653236389160156e-05 6.461143493652344e-05
203,477.67,5.5789947509765625e-05 5.2034854888916016e-05 5.84721565246582e-05 5.40614128112793e-05 5.918741226196289e-05 7.140636444091797e-05 9.79006290435791e-05 5.5789947509765625e-05 0.00030666589736938477 0.00018447637557983398 6.902217864990234e-05 8.979439735412598e-05 5.614757537841797e-05 5.751848220825195e-05 0.0001372992992401123 7.230043411254883e-05 0.00012895464897155762 0.8814272880554199
204,513.66,0.001284569501876831 5.322694778442383e-05 5.614757537841797e-05 0.0002503395080566406 0.00017309188842773438 0.003950715065002441 0.00021561980247497559 6.324052810668945e-05
205,490.64,6.633996963500977e-05 0.001296311616897583 5.316734313964844e-05 7.557868957519531e-05 5.519390106201172e-05 0.0160372257232666 0.9542911052703857 0.9987930059432983 9.700655937194824e-05 0.00013193488121032715 7.545948028564453e-05 5.918741226196289e-05 7.134675979614258e-05
206,530.19,8.219480514526367e-05 9.325146675109863e-05 5.733966827392578e-05 6.324052810668945e-05 0.01721358299255371 6.61611557006836e-05 5.8770179748535156e-05 6.502866744995117e-05 6.145238876342773e-05 8.830428123474121e-05 5.6803226470947266e-05 6.824731826782227e-05 7.098913192749023e-05
207,520.70,0.023873835802078247 6.860494613647461e-05 0.009879231452941895 6.073713302612305e-05 5.3763389587402344e-05 0.002900362014770508 5.543231964111328e-05 6.437301635742188e-05 5.7637691497802734e-05 0.9975395202636719
208,528.74,0.00021407008171081543 0.006273627281188965 5.650520324707031e-05 0.00011131167411804199 5.614757537841797e-05 0.0008440017700195312 6.258487701416016e-05 6.622076034545898e-05 5.5670738220214844e-05 0.029436767101287842 0.02137330174446106 9.623169898986816e-05 5.924701690673828e-05 7.104873657226562e-05 6.479024887084961e-05 0.00013187527656555176
209,538.48,6.335973739624023e-05 5.2094459533691406e-05 7.939338684082031e-05 5.918741226196289e-05 0.00037226080894470215 6.16312026977539e-05 6.467103958129883e-05 0.0005337893962860107 7.545948028564453e-05 5.7816505432128906e-05 8.824467658996582e-05 9.444355964660645e-05 0.9978641867637634 5.817413330078125e-05
210,520.01,0.00010833144187927246 7.969141006469727e-05 5.40614128112793e-05 5.453824996948242e-05 7.796287536621094e-05 6.937980651855469e-05 0.5758035778999329 5.936622619628906e-05 6.812810897827148e-05 6.145238876342773e-05 7.390975952148438e-05 0.025006473064422607 8.481740951538086e-05
211,549.48,7.599592208862305e-05 8.130073547363281e-05 5.650520324707031e-05 6.246566772460938e-05 0.00011619925498962402 6.073713302612305e-05 6.663799285888672e-05 0.042049795389175415 7.474422454833984e-05 5.716085433959961e-05 5.900859832763672e-05 6.896257400512695e-05 0.0006594955921173096 7.170438766479492e-05
212,507.03,0.015288472175598145 6.330013275146484e-05 5.692243576049805e-05 5.7816505432128906e-05 5.8591365814208984e-05 0.00010207295417785645 7.939338684082031e-05 0.00019857287406921387 6.389617919921875e-05 0.00011304020881652832
213,478.25,0.0002943277359008789 6.145238876342773e-05 5.692243576049805e-05 0.0001774430274963379 0.00016582012176513672 5.698204040527344e-05 5.614757537841797e-05 6.246566772460938e-05 8.082389831542969e-05 0.005821794271469116 0.9986401200294495 6.401538848876953e-05 0.00010314583778381348 7.88569450378418e-05 0.21189838647842407 6.42538070678711e-05 6.186962127685547e-05 8.493661880493164e-05
214,484.78,0.000436931848526001 0.0032385587692260742 6.085634231567383e-05 6.139278411865234e-05 7.408857345581055e-05 0.00010773539543151855 6.288290023803711e-05 5.8710575103759766e-05 6.514787673950195e-05 0.04857173562049866 5.602836608886719e-05 6.949901580810547e-05 6.985664367675781e-05 0.010867893695831299 7.11679458618164e-05 0.00020369887351989746 7.581710815429688e-05 6.121397018432617e-05 8.32676887512207e-05
215,524.90,5.614757537841797e-05 0.00015926361083984375 7.778406143188477e-05 7.581710815429688e-05 0.0002574920654296875 0.00010713934898376465 0.0002129971981048584 7.528066635131836e-05 0.9992884397506714 7.414817810058594e-05
